source_row,citation_key,manuscript_reference_number,proof_reference_number,paper_title,cam_concept,cell_structure,technology,process_node_nm,area_um2,search_energy_fj_per_bit_per_search,year,storage_mode_reported,states_stored,nonvolatile,storage_mode_inferred,storage_mode_for_plot,storage_mode_interpreted,bits_stored,information_density_bits_per_um2,layout_factor_k,layout_normalized_search_energy
4,SRAM_3,29,29,"A 1-V 128-kb four-way set-associative CMOS cache memory using wordline-oriented tag-compare (WLOTC) structure with the content-addressable-memory (CAM) 10-transistor tag cell,",TCAM,10T,SRAM,180,11.1544,,2001,Digital,2,,False,Digital,Digital,1,0.0896507207918,344.271604938,
22,DRAM_21,58,53,A cost-efficient dynamic ternary CAM in 130 nm CMOS technology with planar complementary capacitors and TSR architecture,TCAM,8T4C,DRAM,130,4.79,,2003,Digital,3,no,False,Digital,Digital,1.58496250072,0.33088987489,283.431952663,
2,SRAM_1,1,1,"200 MHz/200 MSPS 3.2 W at 1.5 V Vdd, 9.4 Mbits ternary CAM with new charge injection match detect circuits and bank selection scheme",TCAM,16T NOR,SRAM,130,6.73,,2003,Digital,3,no,False,Digital,Digital,1.58496250072,0.235507058057,398.224852071,
12,SRAM_11,33,33,A ternary content-addressable memory (TCAM) based on 4T static storage and including a current-race sensing scheme,TCAM,4T/12T CMOS,SRAM,180,17.54,,2003,Digital,3,no,False,Digital,Digital,1.58496250072,0.0903627423444,541.358024691,
13,SRAM_12,34,34,Advanced ternary CAM circuits on 0.13 μm logic process technology,TCAM,16T NOR,SRAM,130,7.1,,2004,Digital,3,no,False,Digital,Digital,1.58496250072,0.223234155031,420.118343195,
21,DRAM_20,48,43,A Cost-Efficient High-Performance Dynamic TCAM With Pipelined Hierarchical Searching and Shift Redundancy Architecture,DTCAM,6T2C,DRAM,130,3.59,,2005,Digital,3,no?,False,Digital,Digital,1.58496250072,0.441493732791,212.426035503,
3,SRAM_2,28,28,A 0.7-fJ/bit/search 2.2-ns search time hybrid-type TCAM architecture,TCAM,16T NAND,SRAM,100,22.4,0.7,2005,Digital,3,yes,False,Digital,Digital,1.58496250072,0.0707572544965,2240,0.0003125
33,MTJ_2,54,49,"A 3.14 μm2 4T-2MTJ-cell fully parallel TCAM based on nonvolatile logic-in-memory architecture,",TCAM,16T NAND,SRAM,180,47.2,,2006,Digital,3,no,False,Digital,Digital,1.58496250072,0.0335797139983,1456.79012346,
34,MTJ_2,54,49,"A 3.14 μm2 4T-2MTJ-cell fully parallel TCAM based on nonvolatile logic-in-memory architecture,",TCAM,16T NAND,SRAM,250,53.9,,2006,Digital,3,no,False,Digital,Digital,1.58496250072,0.0294056122583,862.4,
15,SRAM_14,36,36,High-speed and low-power design techniques for TCAM macros,TCAM,12T CMOS,SRAM,180,19.468925,1.42,2008,Digital,3,no,False,Digital,Digital,1.58496250072,0.0814098621635,600.892746914,0.0023631505078
10,SRAM_9,32,32,A low-power ternary content addressable memory (TCAM) with segmented and nonsegmented matchlines,TCAM,12T NAND,SRAM,130,12.93,,2008,Digital,3,no,False,Digital,Digital,1.58496250072,0.122580239808,765.088757396,
14,SRAM_13,35,35,An adaptively dividable dual-port BiTCAM for virus-detection processors in mobile devices,TCAM,12T NAND,SRAM,130,15.22072,0.44,2009,Digital,3,no,False,Digital,Digital,1.58496250072,0.104131900509,900.634319527,0.000488544562938
37,MTJ_5,67,62,Design of spin-torque transfer magnetoresistive RAM and CAM/TCAM with high sensing and search speed,TCAM,11T3MTJ,MTJ,180,36,7.1,2010,Digital,2,Yes,False,Digital,Digital,1,0.0277777777778,1111.11111111,0.00639
8,SRAM_7,57,52,"A Self-Disabled Sensing Technique for Content-Addressable Memories
C.Wang  ., TCAS-II, 2010.",,9T,SRAM,130,20.213,1.872,2010,,2,,True,,Digital,1,0.049473111364,1196.03550296,0.0015651709296
35,MTJ_3,65,60,Design and Fabrication of a One-Transistor/OneResistor Nonvolatile Binary Content-Addressable Memory Using Perpendicular Magnetic Tunnel Junction Devices with a Fine-Grained PowerGating Scheme,TCAM,1T1MTJ,MTJ,140,1.25,,2011,,2,,True,,Digital,1,0.8,63.7755102041,
38,MTJ_6,68,63,"Fully parallel 6T-2MTJ nonvolatile TCAM with single-transistor-based self match-line discharge control,",TCAM,6T2MTJ,MTJ,90,10.35,1.04,2011,Digital,3,yes,False,Digital,Digital,1.58496250072,0.1531364735,1277.77777778,0.000813913043478
19,SRAM_18,47,42,A 65 nm 0.165 fJ/Bit/Search 256   144 TCAM Macro Design for IPv6 Lookup Tables,TCAM,16T NAND,SRAM,65,7.0499,0.165,2011,Digital,3,no,False,Digital,Digital,1.58496250072,0.224820564933,1668.61538462,9.88843813387e-05
9,SRAM_8,46,41,"A Low Power Content Addressable Memory Using Low Swing Search Lines
B.Yang   TCAS-I, 2011.",,13T,SRAM,180,30,2.82,2011,,3,,True,,Digital,1.58496250072,0.0528320833574,925.925925926,0.0030456
32,MTJ_2,54,49,"A 3.14 μm2 4T-2MTJ-cell fully parallel TCAM based on nonvolatile logic-in-memory architecture,",TCAM,4T2MTJ,MTJ,90,3.14,,2012,Digital,3,yes,False,Digital,Digital,1.58496250072,0.504765127618,387.654320988,
36,MTJ_4,66,61,Design of a Nine-Transistor/Two-Magnetic-Tunnel-Junction-Cell-Based Low-Energy Nonvolatile Ternary Content-Addressable Memory,TCAM,9T2MTJ,MTJ,90,10.35,0.73,2012,Digital,3,Yes,False,Digital,Digital,1.58496250072,0.1531364735,1277.77777778,0.000571304347826
5,SRAM_4,30,30,A 250‐MHz 18‐Mb full ternary CAM with low‐voltage matchline sensing scheme in 65‐nm CMOS,TCAM,16T NOR,SRAM,65,1.69,1.98,2013,Digital,3,no,False,Digital,Digital,1.58496250072,0.937847633563,400,0.00495
